[0.00-7.00]  What topics or activities would you talk about for hours, even when others weren't as interested?
[7.00-12.00]  What subjects or ideas felt so exciting to you that you couldn't stop sharing them?
[12.00-15.00]  Topics or activities? Definitely spirituality.
[15.00-26.00]  Anything with spirituality, anything with new age, occult, witchcraft, herbalism, plants.
[26.00-29.00]  Art. Definitely art.
[29.00-34.00]  Tech as well. Mostly with like computer history.
[34.00-42.00]  Like the history of computers, history of like software like Windows, history of Mac.
[46.00-49.00]  A little bit of space and astronomy but not that much.
[50.00-61.00]  But definitely the first few like spirituality, personal development, wiki stuff, art and tech.
[63.00-66.00]  Did I try to get others involved in your interests?
[68.00-76.00]  Only if I could tell they had an interest in it as well because I remember I met someone in middle school who had an interest in crystals
[76.00-87.00]  and that's because she said crystals, I felt safe with her to talk about spiritual topics because I knew at that time spirituality was not as mainstream.
[87.00-89.00]  This was like what, 2014?
[89.00-95.00]  Spirituality had not become, witchy stuff had not become as mainstream quite yet.
[95.00-102.00]  So I was kind of underground with my interest in spirituality.
[102.00-110.00]  So I would only share with people who I felt like I could guess from context clues had the same interests.
[110.00-119.00]  Other than that I did not involve people because I knew from like info dumping when I was a small child that some people didn't like that.
[119.00-131.00]  So when I was a teen I didn't want to be seen as uncool so I made sure to not info dump or share things or get people involved as much as possible.
[131.00-146.00]  Oh yeah and with the art thing like if I met some other nerds at school who are geeks or whatever, people into fandoms that I saw, yeah I would include them but other than that no.
[146.00-154.00]  If you were not someone who I could tell was similar in vibe to me I did not share because I didn't want to embarrass myself.
[154.00-157.00]  What was my energy like when I spoke about these topics?
[157.00-160.00]  I was very excited with talk non-stop.
[160.00-172.00]  I would just blab about, just yap because like I said I was a loner especially in my, I was a loner from eight years old onwards.
[172.00-179.00]  And especially in my teen years I had become used to being a loner even when I had friends they would come and go.
[179.00-190.00]  So I was always a loner and like because I spent most of my time alone the few moments I did have to share my interests I kind of just blurted everything out.
