[0.00-2.44]  Oh, this is a follow up to the other one.
[2.44-7.32]  Have you found yourself repeatedly drawn to similar types of work, even in different fields?
[17.84-27.04]  I guess, like any work that involves deep thinking and deep, like a long time spent researching, analyzing and building.
[27.96-34.32]  That's the kind of work I've been drawn to, even across different fields, whether it be in art.
[35.36-46.32]  You know, with art, it would be like, you know, taking a long time to learn how to create like a fantasy world concept.
[46.32-53.20]  I did that briefly for a time and creating fan art and fanfic, not fan art, because it was original work.
[53.20-56.16]  So original art and original fiction for that.
[58.00-60.64]  You know, creating my own fantasy world.
[60.64-62.72]  I did. There was a time where I was working on that.
[62.72-64.64]  That kind of fell off.
[64.64-68.16]  I would like to revisit it one day, though.
[68.16-73.64]  And then in research, it's learning everything there is to know about the plant species that I'm working with.
[73.64-84.00]  Learning everything there is to know about the method, research methodologies that I need to know in order to conduct said research and then actually executing the research.
[84.00-89.76]  And then with art, you know, actually executing the building of the fantasy world, world building.
[89.76-92.40]  Oh, yeah, world building, yeah, with the art thing.
[93.20-98.40]  What tasks or projects always feel energizing, even the job itself, isn't exciting.
[98.40-109.76]  The research part, the analyzing part, the actual building part, the actual finding the solution to the problem part, that was the part that felt exciting.
[110.32-116.64]  If you were to remove external pressures, money, status, expectations, what aspects of work would you choose to keep?
[116.64-123.04]  The aspect of work where I'm just allowed to be left alone and do my thing.
[123.04-138.80]  Where I'm just diving deep into research, diving deep into analyzing, diving deep into learning everything that I want to know about that topic and then creating a solution or a system or something to a specific problem related to set.
[139.76-153.44]  Topic are creating, you know, a world if we're talking about in a creative context, like just let me be to my own devices and let me just sit and create and do my magic.
[153.44-156.56]  That's that's what I would choose to keep.
[156.56-162.72]  And then let me be able to organize my time in my own way, with my own rhythms as I see fit.
