[0.00-6.00]  As you moved into your teenage years and young adulthood, how did your interest evolve?
[6.00-9.00]  What stayed consistent? What changed?
[9.00-17.00]  I think I touched upon this briefly in another voice note, but definitely, I think my interest evolved into...
[19.00-25.00]  The thing that stayed consistent was my interest in spirituality and self-development. That was the thing that stayed the same.
[25.00-28.00]  Spirituality and self-development always stayed a constant.
[28.00-41.00]  The thing that changed was that I was definitely more creatively inclined in terms of interest as a child in my early teenage years.
[41.00-52.00]  But as I moved into my late teenage years and early adulthood, my interest kind of shifted away from creative pursuits to more analytical and research-focused ones.
[53.00-56.00]  Were there any new skills or passions that emerged?
[58.00-68.00]  I definitely developed a passion for plants. The plants kind of came off as an offshoot of the spirituality.
[68.00-77.00]  But also, I don't know, because I was always interested as a kid in anything magical or fantastical.
[77.00-89.00]  So it was kind of... Plants, to me, when I learned that plants could be used as magic, it kind of made me interested in plants as a whole.
[89.00-97.00]  Because I wanted to find out everything there is to know about plants, how to use them for medicine, how to use them for healing, how to use them for spells, those kind of things.
[97.00-112.00]  So I guess in that sense, the childhood interest in magic from a fictitious standpoint became something more tangible as I grew older.
[112.00-128.00]  It became something more tangible in that as I grew older, the interest as a child in liking magic was fictitious.
[128.00-133.00]  And then as I grew older, I wanted to learn more about healing myself.
[133.00-140.00]  And when I wanted to learn more about healing myself, I learned about these related topics, witchcraft and paganism.
[140.00-147.00]  And I found out that these things are real and you can use plants for them. And that kind of spearheaded my interest in plants.
[147.00-165.00]  And then when I started learning more about the sciences, STEM and all that, and developing these new skills in like programming and tech and working with technology, fixing stuff, tinkering with stuff.
[165.00-176.00]  I found out later on in my teenage years that you could do a career path in plants.
[176.00-182.00]  You could do plant biotechnology. You could do plant research, scientific research.
[182.00-189.00]  And because I was good at science in school and I had this interest in plants, I figured, OK, let me do this.
[189.00-195.00]  Also, it will make my parents happy because they want me to do something that will actually make money.
[195.00-202.00]  This career path that I'm pursuing looks like it's going to make me money and it's in something that I'm interested in, plants.
[202.00-209.00]  And, you know, I like plants because it connects me back to spirituality and bettering myself.
[209.00-214.00]  And, you know, you can go in all sorts of directions with plant science research.
[214.00-221.00]  You can learn about plant medicines and spend your whole using all of these bioinformatics research tools to learn about plant medicines.
[221.00-226.00]  You know, the world's the oyster. So I guess.
[226.00-233.00]  I guess in that way, like my interest in spirituality and magic kind of stayed consistent.
[233.00-242.00]  But what changed was how it manifested, because I think as a child, it manifested in me being more creative, you know,
[242.00-254.00]  wanting to draw the fantastical worlds that I was interested in, write about the fantastical worlds I was interested in, act out and play out the fantastical worlds I was interested in.
[254.00-270.00]  And then as I grew older, it became something more tangible, whether it be learning about herbalism and learning how to make herbal preparations or learning how to conduct research on plants from at the genomic and the genetic level, especially as an adult.
[270.00-285.00]  So that's how it kind of changed. And, you know, those changes, especially from a more tangible standpoint, allowed me to get developed these skills and passions in tech and research.
[285.00-296.00]  Did certain childhood interests fade away or did they transform into something new? Yeah, I already mentioned that it transformed into interest in plants, stuff like that.
[296.00-304.00]  What did you start spending money on when you have the freedom to choose?
[304.00-308.00]  As I grew older, I
[308.00-320.00]  I started to spend money on buying herbs and a lot of witchy supplies, a lot of herbs, a lot of oils, natural oils,
[320.00-322.00]  a lot of
[322.00-336.00]  lab supplies, like literally, because there was a time where I was interested in making natural products for my hair and skin, mostly my hair though, and a little bit for like magic stuff too.
[336.00-348.00]  So I literally bought a whole bunch of stuff that I now realize those same things you use in the lab because I bought pipettes, I bought pH strips, I bought a scale.
[348.00-360.00]  And like literally all of those things that I bought, I've used them in the labs that I worked in, whether in undergrad or as a master's student.
[360.00-376.00]  And then, this is more recent, I did end up buying a drawing tablet. But that was kind of to fulfill my inner child because I always wanted to buy a drawing tablet, even when I was a tween, but I never got around to it because it was expensive.
[376.00-384.00]  So when I became an adult and I finally had my own money, I bought it. But I don't use it that much and I'm pretty sure I lost the stylus. So I need to buy a new stylus.
[384.00-399.00]  But yeah, I did end up buying a drawing tablet. But again, like I said, I didn't draw, I don't draw a lot even to this day, because like for the reasons I said, a lot of my analytical pursuits take precedent over my creative ones.
